Player,Opp.,Attempts,SOA%,Goals,Actual_Conversion_Rate,Estimated_Conversion_Rate,SO_Rating
Linden Vey,15,4,0.26666666666666666,1,0.25,0.32113133372160746,67.86981492266872
Kaspars Daugavins,16,4,0.25,1,0.25,0.32113133372160746,67.86981492266872
Troy Terry,7,4,0.5714285714285714,1,0.25,0.32113133372160746,67.86981492266872
Pontus Aberg,12,4,0.3333333333333333,1,0.25,0.32113133372160746,67.86981492266872
Steve Sullivan,53,35,0.660377358490566,11,0.3142857142857143,0.32113096971461846,67.86971380961623
Patrick Sharp,120,66,0.55,21,0.3181818181818182,0.32113060570762963,67.86961269656378
Brent Burns,126,32,0.25396825396825395,10,0.3125,0.32096971461852064,67.82492072736683
Victor Hedman,80,26,0.325,8,0.3076923076923077,0.32064720442632494,67.73533456286803
Derek Stepan,78,26,0.3333333333333333,8,0.3076923076923077,0.32064720442632494,67.73533456286803
Scott Gomez,121,26,0.21487603305785125,8,0.3076923076923077,0.32064720442632494,67.73533456286803
Rene Bourque,89,26,0.29213483146067415,8,0.3076923076923077,0.32064720442632494,67.73533456286803
Jason Blake,66,23,0.3484848484848485,7,0.30434782608695654,0.3204859493302271,67.69054148061863
Matt Read,59,23,0.3898305084745763,7,0.30434782608695654,0.3204859493302271,67.69054148061863
Lars Eller,79,20,0.25316455696202533,6,0.3,0.32032469423412924,67.64574839836922
Alexander Wennberg,33,20,0.6060606060606061,6,0.3,0.32032469423412924,67.64574839836922
Martin Erat,98,51,0.5204081632653061,16,0.3137254901960784,0.32032433022714035,67.64564728531676
Jamie Benn,81,48,0.5925925925925926,15,0.3125,0.3201630751310425,67.60085420306734
Zemgus Girgensons,51,14,0.27450980392156865,4,0.2857142857142857,0.32000218404193365,67.55616223387045
Dave Bolland,68,14,0.20588235294117646,4,0.2857142857142857,0.32000218404193365,67.55616223387045
Erik Haula,39,8,0.20512820512820512,2,0.25,0.3196796738497379,67.46657606937163
William Karlsson,34,8,0.23529411764705882,2,0.25,0.3196796738497379,67.46657606937163
P.J. Axelsson,36,8,0.2222222222222222,2,0.25,0.3196796738497379,67.46657606937163
Owen Nolan,27,8,0.2962962962962963,2,0.25,0.3196796738497379,67.46657606937163
Jesper Bratt,22,8,0.36363636363636365,2,0.25,0.3196796738497379,67.46657606937163
Joakim Lindstrom,20,8,0.4,2,0.25,0.3196796738497379,67.46657606937163
Bobby Butler,13,5,0.38461538461538464,1,0.2,0.31951841875364007,67.42178298712223
David Legwand,101,33,0.32673267326732675,10,0.30303030303030304,0.31935679965055325,67.37688879182033
Kris Versteeg,92,30,0.32608695652173914,9,0.3,0.3191955445544554,67.33209570957094
Wayne Simmonds,129,30,0.23255813953488372,9,0.3,0.3191955445544554,67.33209570957094
Rich Peverley,43,30,0.6976744186046512,9,0.3,0.3191955445544554,67.33209570957094
Mikhail Grabovski,82,27,0.32926829268292684,8,0.2962962962962963,0.31903428945835755,67.28730262732154
Antti Miettinen,66,27,0.4090909090909091,8,0.2962962962962963,0.31903428945835755,67.28730262732154
Artem Anisimov,72,27,0.375,8,0.2962962962962963,0.31903428945835755,67.28730262732154
Marco Sturm,78,27,0.34615384615384615,8,0.2962962962962963,0.31903428945835755,67.28730262732154
Bryan Little,75,58,0.7733333333333333,18,0.3103448275862069,0.31903392545136866,67.28720151426907
Jakub Voracek,121,58,0.4793388429752066,18,0.3103448275862069,0.31903392545136866,67.28720151426907
Steven Reinprecht,44,24,0.5454545454545454,7,0.2916666666666667,0.3188730343622598,67.24250954507215
Nikolay Kulemin,87,24,0.27586206896551724,7,0.2916666666666667,0.3188730343622598,67.24250954507215
Sergei Samsonov,51,24,0.47058823529411764,7,0.2916666666666667,0.3188730343622598,67.24250954507215
Pierre-Marc Bouchard,64,24,0.375,7,0.2916666666666667,0.3188730343622598,67.24250954507215
Marian Hossa,108,55,0.5092592592592593,17,0.3090909090909091,0.3188726703552708,67.24240843201966
Jack Eichel,26,21,0.8076923076923077,6,0.2857142857142857,0.3187117792661619,67.19771646282274
Gabriel Landeskog,51,18,0.35294117647058826,5,0.2777777777777778,0.3185505241700641,67.15292338057334
Sam Gagner,99,80,0.8080808080808081,25,0.3125,0.31854979615608614,67.15272115446837
Gilbert Brule,42,15,0.35714285714285715,4,0.26666666666666666,0.31838926907396625,67.10813029832396
Dean McAmmond,43,15,0.3488372093023256,4,0.26666666666666666,0.31838926907396625,67.10813029832396
Darcy Tucker,41,15,0.36585365853658536,4,0.26666666666666666,0.31838926907396625,67.10813029832396
Alex Ovechkin,131,108,0.8244274809160306,34,0.3148148148148148,0.31838817705299943,67.1078269591665
Ville Peltonen,27,12,0.4444444444444444,3,0.25,0.3182280139778684,67.06333721607454
Keith Tkachuk,42,12,0.2857142857142857,3,0.25,0.3182280139778684,67.06333721607454
Ville Leino,44,12,0.2727272727272727,3,0.25,0.3182280139778684,67.06333721607454
Alex Chiasson,53,12,0.22641509433962265,3,0.25,0.3182280139778684,67.06333721607454
Shane Doan,69,40,0.5797101449275363,12,0.3,0.3180663948747816,67.01844302077266
Marc Pouliot,22,6,0.2727272727272727,1,0.16666666666666666,0.31790550378567267,66.97375105157573
Ryan Callahan,93,34,0.3655913978494624,10,0.29411764705882354,0.31774388468258585,66.92885685627384
Chris Higgins,89,28,0.3146067415730337,8,0.2857142857142857,0.31742137449039015,66.83927069177503
Tomas Tatar,65,28,0.4307692307692308,8,0.2857142857142857,0.31742137449039015,66.83927069177503
Lauri Korpikoski,60,25,0.4166666666666667,7,0.28,0.31726011939429233,66.79447760952564
Trent Hunter,59,22,0.3728813559322034,6,0.2727272727272727,0.31709886429819456,66.74968452727626
Niklas Hagman,66,19,0.2878787878787879,5,0.2631578947368421,0.3169376092020967,66.70489144502685
Nathan Gerbe,54,19,0.35185185185185186,5,0.2631578947368421,0.3169376092020967,66.70489144502685
Alexander Semin,66,50,0.7575757575757576,15,0.3,0.31693724519510774,66.70479033197437
Cory Stillman,44,16,0.36363636363636365,4,0.25,0.31677635410599886,66.66009836277745
Jaccob Slavin,31,16,0.5161290322580645,4,0.25,0.31677635410599886,66.66009836277745
Dylan Larkin,33,16,0.48484848484848486,4,0.25,0.31677635410599886,66.66009836277745
Derek Roy,104,47,0.4519230769230769,14,0.2978723404255319,0.31677599009900986,66.65999724972495
Damien Brunner,20,13,0.65,3,0.23076923076923078,0.316615099009901,66.61530528052805
Sven Baertschi,23,10,0.43478260869565216,2,0.2,0.3164538439138031,66.57051219827864
Jake Debrusk,14,10,0.7142857142857143,2,0.2,0.3164538439138031,66.57051219827864
Tom Pyatt,46,10,0.21739130434782608,2,0.2,0.3164538439138031,66.57051219827864
Eric Perrin,21,10,0.47619047619047616,2,0.2,0.3164538439138031,66.57051219827864
Linus Omark,18,10,0.5555555555555556,2,0.2,0.3164538439138031,66.57051219827864
Matthew Lombardi,45,10,0.2222222222222222,2,0.2,0.3164538439138031,66.57051219827864
Nail Yakupov,32,7,0.21875,1,0.14285714285714285,0.3162925888177053,66.52571911602924
Frank Vatrano,26,7,0.2692307692307692,1,0.14285714285714285,0.3162925888177053,66.52571911602924
Pavel Buchnevich,19,4,0.21052631578947367,0,0.0,0.31613133372160745,66.48092603377984
